Open,High,Low,Close,Adj Close
62900,63000,62300,62900,62227.30859
63600,63900,63200,63200,62524.10156
63900,63900,62000,62200,61534.79688
62500,63700,62400,63700,63018.75391
62900,63300,62400,62600,61930.51563
62900,63000,61800,62700,62029.44922
62700,62800,62000,62100,61435.86328
61500,61800,61000,61100,60446.55859
61700,62500,61500,62000,61336.9375
62300,62600,61300,61300,60644.42188
60800,60800,60200,60500,59852.98047
60800,61400,60500,60600,59951.90625
60900,61800,60500,60800,60149.76953
61000,61200,60500,60500,59852.98047
61100,61600,60800,61500,60842.28516
61400,61400,60700,60700,60050.83984
60100,60500,59900,60300,59655.11719
60500,60800,59900,60100,59457.25391
59500,59700,59100,59500,58863.67188
59900,60200,59300,60000,59358.32422
59400,59500,59000,59000,58369.01953
60000,60300,59600,59800,59160.46484
59200,60200,59100,59900,59259.39453
60800,61300,60600,61300,60644.42188
61100,61200,60200,60200,59556.1875
60500,60700,60100,60300,59655.11719
61000,61200,60500,61100,60446.55859
60600,62300,60600,62300,61633.73047
62700,63300,62300,63000,62326.24219
62600,62800,62000,62100,61435.86328
62400,62900,62100,62900,62227.30859
62500,62700,62200,62700,62029.44922
63700,63700,63100,63200,62886.17578
64000,64000,63700,64000,63682.20313
64000,64000,63000,63100,62786.67188
63400,63800,62800,63600,63284.1875
63700,64000,63400,63900,63582.69922
63500,63600,62300,62300,61990.64453
63800,65200,63800,65000,64677.23438
64800,66300,64700,65700,65373.76172
66200,66200,65400,65900,65572.76563
65800,66200,65300,66000,65672.27344
65600,66100,65400,66100,65771.77344
66600,66600,65000,65100,64776.73828
65000,65600,64700,65300,64975.74609
65900,66000,64800,65600,65274.25781
65500,65800,65300,65500,65174.75391
65100,65300,64600,65300,64975.74609
65800,65900,65400,65700,65373.76172
65300,65700,64800,65200,64876.24219
65300,65400,63400,63600,63284.1875
63600,64300,63300,64100,63781.70313
64100,65000,63300,64600,64279.22266
65200,65900,65000,65500,65174.75391
66000,66300,65100,65700,65373.76172
65100,65600,64900,65400,65075.25
65600,65700,64700,65100,64776.73828
66300,66300,65400,65900,65572.76563
65800,65800,65100,65300,64975.74609
65500,65500,64300,64600,64279.22266
64700,65100,64200,64200,63881.20703
63700,64600,63600,64100,63781.70313
64100,64600,63900,64500,64179.71875
65800,65900,65300,65400,65075.25
65900,65900,64800,65000,64677.23438
66000,66200,65700,66200,65871.27344
67800,68400,67500,68400,68060.35156
68400,69000,68000,68500,68159.85938
68500,68700,68100,68400,68060.35156
68100,68700,68000,68500,68159.85938
69900,70000,68700,68800,68458.36719
69800,70400,69500,70300,69950.92188
