Open,High,Low,Close,Volume
1247.88,1250.5,1246.41,1247.11,9007.8418
1247.11,1252.83,1246.77,1250.74,8803.8542
1250.73,1254.54,1248.84,1249.55,13633.7418
1249.55,1252.78,1249.54,1250.31,5735.5676
1250.3,1253.33,1250.3,1251.83,4094.9499
1251.83,1252.18,1250.27,1250.35,2823.7911
1250.34,1251.17,1248.08,1248.41,3161.906
1248.41,1249.69,1248.41,1248.86,3447.1217
1248.85,1249.57,1247.3,1247.51,2558.8641
1247.51,1248.59,1247.35,1248.02,1689.0485
1248.03,1248.68,1247.33,1247.58,2038.2128
1247.58,1250.75,1247.58,1249.11,9471.4827
1249.1,1249.38,1248.18,1248.84,2607.2626
1248.85,1251.97,1248.84,1250.51,4623.1868
1250.5,1252.11,1247.93,1250.51,4172.9932
1250.51,1250.74,1249.42,1250.16,3001.364
1250.16,1252.19,1249.44,1251.94,2652.607
1251.95,1253.13,1250.29,1252,3024.2708
1252,1253.98,1251.81,1252.88,4371.8114
1252.88,1264,1248.77,1249.98,15196.9102
1249.98,1250.74,1248.59,1249.64,2839.5497
1249.63,1251.7,1249.63,1250.74,1683.9495
1250.75,1251.54,1250.01,1251.05,1441.2149
1251.05,1251.45,1250.54,1250.83,1719.6234
1250.83,1251.28,1250.49,1251.28,1621.9466
1251.27,1251.74,1248.6,1249.68,4840.3444
1249.69,1249.77,1249.28,1249.29,1518.3558
1249.29,1250.36,1249.15,1250,2287.2536
1249.99,1250.08,1248.79,1248.79,1133.489
1248.8,1249.83,1248.7,1249.82,1279.5488
1249.82,1250.08,1249.51,1250.05,1159.4214
1250.05,1250.24,1249.84,1250.03,1168.5778
1250.03,1251.14,1249.78,1251.09,1495.9253
1251.08,1253.72,1250.6,1251.58,3164.4029
1251.59,1253.92,1251.58,1253.49,2767.2581
1253.49,1254.89,1252.53,1254.89,2307.2815
1254.88,1256.48,1251.99,1252.51,4125.2771
1252.5,1252.51,1250.77,1250.99,2678.5582
1250.99,1252.47,1250.82,1251.88,1916.4701
1251.88,1253.31,1251.76,1252.42,1901.8343
1252.41,1253.14,1252.3,1253.14,1416.2438
1253.13,1253.92,1252.87,1253.72,1906.9262
1253.73,1253.73,1250.95,1250.95,2570.3111
1250.96,1252.88,1250.29,1252.28,2316.6657
1252.29,1255.18,1250.23,1251.37,8490.4964
1251.37,1251.9,1249.31,1250.94,4607.8109
1250.94,1253.35,1241.89,1248.13,20755.3418
1248.13,1251.05,1248.13,1250.32,3724.5583
1250.32,1253.5,1249.26,1253.34,4080.1546
1253.35,1258.09,1253.34,1255.88,6344.3373
